EPG名称,APP地址
台视财经台,P2p://starvod.xyz:19806/83dc28880d16492f8be4a34da7ab6537
台视新闻台,P2p://starvod.xyz:19806/08bbe86c8d4148e2b9a58b9d4e1cac4b
台视综合台,P2p://starvod.xyz:19806/f73785a5a23d44e49480362553669faa
华视,P2p://starvod.xyz:19806/7704edacec12476cac8bb31cc156aa54
华视,#N/A
华视新闻,P2p://starvod.xyz:19806/bec268beeb064f84ad28d2eb07f164e1
公视,P2p://starvod.xyz:19806/a632b1799d814ec8a92eaf6dcac5dfcf
公视三台,P2p://starvod.xyz:19806/26447a717eb7455db5da4db6b5b66afe
公视台语台,P2p://starvod.xyz:19806/26a7c760340c4fdda70978cb1df56fa9
东森财经新闻台,P2p://starvod.xyz:19806/1ef68fe1e1cc4e078f6c0eddea59fea0
东森电影台,P2p://starvod.xyz:19806/b59a828c6615442f8e84a92f98f2a639
东森戏剧台,P2p://starvod.xyz:19806/3ec8e0d8b6404523951bb824aefa1e30
东森新闻台,P2p://starvod.xyz:19806/80ac7a26478241068cc5dd23577e938e
东森新闻台,#N/A
东森洋片台,P2p://starvod.xyz:19806/a1cff1d8503f49dfbc5c69dbbe56ac3d
东森YOYO台,P2p://starvod.xyz:19806/712c05eb73ea47258ae6d0fd6f4c0647
东森综合台,P2p://starvod.xyz:19806/49ebde7b61f24404a020b421b1b8e381
东森购物2台,P2p://starvod.xyz:19806/025c1848c3914848afd2d6b043f3e6cc
东森购物1台,P2p://starvod.xyz:19806/50e83fdd8a814dc4948599a17c64c219
ETto综合台,P2p://starvod.xyz:19806/77e9cf51197747038b515fcc0ebe5e6a
JET综合台,P2p://starvod.xyz:19806/328a45e71eaa413ea193a365c8483f91
镜新闻,P2p://starvod.xyz:19806/1b5e4d624d9c4a06ae73c61d9d354b6b
靖天电影台,P2p://starvod.xyz:19806/84b05eb1eedd4403adf456b9f21e10cc
靖天卡通台,P2p://starvod.xyz:19806/0198c0e2e5364fa2a1b7505b3b88d52d
靖天日本台,P2p://starvod.xyz:19806/960a48c767ce416496ad510aa76057fe
靖天戏剧台,P2p://starvod.xyz:19806/4228fbd2137245b88e3d7062f2558322
靖天映画,P2p://starvod.xyz:19806/d7458b40801b4e09b10863b4e5b738c6
靖天育乐台,P2p://starvod.xyz:19806/f2afeb5eee634fce849341d664b66e84
靖天资讯台,P2p://starvod.xyz:19806/c22f367801064d0eb7528287c995ac7b
靖天综合台,P2p://starvod.xyz:19806/26931c6d1850461797b37822e1aefa92
Nice TV靖天欢乐台,P2p://starvod.xyz:19806/7113ebf6b4f244528ac15f03aa455842
靖洋卡通台,P2p://starvod.xyz:19806/cea23629d2be4b57a0a6bd7bd41cef25
龙华偶像,P2p://starvod.xyz:19806/a34a52e630064e30bcb84e19f349cc8e
八大第一台,P2p://starvod.xyz:19806/2f86e55ef1ab414abee91c3091108d32
八大戏剧,P2p://starvod.xyz:19806/9fcb6e3f392849378fc6e731f7cf5460
八大优,P2p://starvod.xyz:19806/a0295dd3cc36418097d62066aae1a01c
八大娱乐台,P2p://starvod.xyz:19806/4c3181482fb046feb46902f29efe3edb
八大综合台,P2p://starvod.xyz:19806/affc6203c9c4465291b8c5a11490bc85
EVE,P2p://starvod.xyz:19806/a793ed8cc9d947be8e27bcf870747daa
EYE旅游,P2p://starvod.xyz:19806/df2b42398f4043edba6e11ab10e2d837
EYE戏剧,P2p://starvod.xyz:19806/48d5552976144f7c8d43075cbb55f0fe
三立都会台,P2p://starvod.xyz:19806/08d7d40a8cb6468eb3d62e2a36508d30
三立台湾台,P2p://starvod.xyz:19806/7f4bf082500d47fd9a3003ebb1c87ba0
三立戏剧台,P2p://starvod.xyz:19806/77b3538a8215427497b3129f4373b81d
三立新闻台,P2p://starvod.xyz:19806/a502d9fe666a41fcb2af987cce6bfe75
三立新闻台,#N/A
三立综合台,P2p://starvod.xyz:19806/7f86a0ccab984fb29a3785a624d77be2
纬来电影台,P2p://starvod.xyz:19806/1fe860684a4a4bdba10241a0d875cec2
纬来精采,P2p://starvod.xyz:19806/4294e1fdac314ecdb22c0658735772e4
纬来日本台,P2p://starvod.xyz:19806/50efc289084b498f9ce6cf3176a6c092
纬来体育台,P2p://starvod.xyz:19806/84c7d19f5ab542188af766460abf051b
纬来戏剧台,P2p://starvod.xyz:19806/50b222848a47400098b820c6fa619abd
纬来育乐台,P2p://starvod.xyz:19806/0210b5121f1b4e84a025f357bfa1e7db
纬来综合台,P2p://starvod.xyz:19806/754447be82054b969c202786cf51ac72
寰宇新闻,P2p://starvod.xyz:19806/cadbcac691e049b3b0264413a6c24fef
寰宇新闻TW,P2p://starvod.xyz:19806/9d323a7c10594e408473082989a087b0
非凡商业台,P2p://starvod.xyz:19806/ae8ee061dee047da98d4e753e3c31712
非凡新闻台,P2p://starvod.xyz:19806/6dd2e2dfddc14417a8e17e09fa560034
壹电视新闻台,P2p://starvod.xyz:19806/c0f8318e8d5248758612a2e14428e7a0
壹电视综合台,P2p://starvod.xyz:19806/b7821b53c0e04d46a8f0cbaa9e901dc8
东森超视,P2p://starvod.xyz:19806/16a5b2a7cfdc453f98d665921b8221ec
高点综合台,P2p://starvod.xyz:19806/27fe3138f6674d8a8fdcd47b20759b98
国兴卫视,P2p://starvod.xyz:19806/017d28d9a6e14623be7ec320af3a28c7
韩国娱乐台KMTV,P2p://starvod.xyz:19806/1262e7f616fc4bd0aa1c006e2ef1f7cf
靖洋戏剧台,P2p://starvod.xyz:19806/515748f902854ef59250c303ebbdec12
年代新闻台,P2p://starvod.xyz:19806/c8912451bd774a50bc640347d9136f85
佛卫慈悲台,P2p://starvod.xyz:19806/a85b40e681db4f99a2d063f22644d6c9
霹雳台湾台,P2p://starvod.xyz:19806/b5b764e44079436fa9f811fae65582bf
人间卫视,P2p://starvod.xyz:19806/da038bb8efac463484d79e388dfa54fa
原住民电视台,P2p://starvod.xyz:19806/9966b797990f47119693c1db494c74a6
客家电视台,P2p://starvod.xyz:19806/2beee535dd694ae89c67c9d477f21079
大爱,P2p://starvod.xyz:19806/0a689e11278c400f867e133a29c76a3b
大爱2台,P2p://starvod.xyz:19806/9d78143d086642b7bf8bbb9775481715
好消息,P2p://starvod.xyz:19806/c70f224d9b884b55b12d262666ec065d
好消息2台,P2p://starvod.xyz:19806/4f880566f5264d9fb2ad5526ad787581
HOY TV,P2p://starvod.xyz:19806/2797104ecb0b42cebec200291753e812
HOY资讯台,P2p://starvod.xyz:19806/ff5db7e3185044e1b29273ef7d7e14ea
ROCK Extreme,P2p://starvod.xyz:19806/03b062ab2ce140aaa6afb20291f8ed64
ONE,P2p://starvod.xyz:19806/888ec28084ce4fc2921091dacf57f75d
ONE,P2p://starvod.xyz:19806/888ec28084ce4fc2921091dacf57f75d
新时代1(西部),P2p://starvod.xyz:19806/dee5f234ca034ad0b63b7dc3d46fd810
新时代2,P2p://starvod.xyz:19806/d32dd73816104f77a13e8eb48d9e7fd2
新时代1(东部),P2p://starvod.xyz:19806/57834b5f0b404db1bda177dfb2dedf7f
城市电视,P2p://starvod.xyz:19806/5e2f95376297456084d6b9823cfb933f
马来西亚,#genre#
八度空间,P2p://starvod.xyz:19806/d526e7f3f5c742d99e053a65279d1e5b
八度空间(备),#N/A
Astro小太阳,#N/A
